ELEMENT ID	ELEMENT NAME	DESCRIPTION
2.C.5	Servicios de salud	Conocimiento de principios y hechos respecto al diagnóstico, cura y prevención de enfermedades así como también de como mejorar y preservar la salud y el bienestar físico y mental.
2.C.5.a	Medicina y odontología	Conocimiento de la información y técnicas que se necesitan para diagnosticar y tratar lesiones humanas, enfermedades y deformidades. Esto incluye síntomas, tratamientos alternativos, propiedades e interacciones de los medicamentos y medidas preventivas para el cuidado de la salud.
2.C.5.b	Terapia y orientación	Conocimiento de principios, métodos y procedimientos para el diagnóstico, tratamiento, y rehabilitación de trastornos físicos y mentales, así como también de orientación y consejería vocacional.
2.C.6	Educación y entrenamiento	Conocimiento de principios y métodos para el diseño de programas de entrenamiento, enseñanza e instrucción ya sea individuales o en grupo, y la evaluación de la efectividad del entrenamiento.
2.C.7	Artes y humanidades	Conocimiento de hechos y principios relacionados con las ramas de aprendizaje dedicadas al pensamiento humano, idioma, y las artes.
2.C.7.a	Idioma inglés	Conocimiento de la estructura y contenido del idioma inglés, incluyendo el significado y la ortografía de las palabras, reglas de redacción y gramática.
2.C.7.b	Idioma extranjero	Conocimiento de la estructura y contenido de un idioma extranjero (otro que el inglés) incluyendo el significado y la ortografía de las palabras, reglas de redacción, gramática y pronunciación.
2.C.7.c	Bellas artes	Conocimiento de la teoría y técnicas que se requieren para componer, producir y realizar trabajos de música, danza, artes visuales, teatro y escultura.
2.C.7.d	Historia y arqueología	Conocimiento de sucesos históricos y sus causas, sus indicadores y sus efectos en las civilizaciones y culturas.
2.C.7.e	Filosofía y teología	Conocimiento de diferentes sistemas filosóficos y religiones. Esto incluye sus principios básicos, valores, ética, maneras de pensar, costumbres, prácticas y su impacto en la cultura humana.
2.C.8	Ley y seguridad pública	Conocimiento de regulaciones y métodos para mantener a las personas y la propiedad libres de peligro, lesión, o daño; las reglas de conducta pública establecidas e impuestas por la legislación y el proceso político que establece tales reglas.
2.C.8.a	Seguridad pública	Conocimiento de equipo, regulaciones, procedimientos y estrategias importantes para promover eficazmente las operaciones de seguridad a nivel local, del estado/provincia/departamento, o nacional para la protección de las personas, la información, la propiedad y las instituciones.
2.C.8.b	Ley y gobierno	Conocimiento de leyes, códigos legales, procedimientos judiciales, jurisprudencia, regulaciones gubernamentales, órdenes del poder ejecutivo, reglas de dependencias gubernamentales o ministerios, y el proceso político democrático.
2.C.9	Comunicaciones	Conocimiento sobre la ciencia y el arte de diseminar información.
2.C.9.a	Telecomunicaciones	Conocimiento respecto a la transmisión, radio difusión, interruptores, control y funcionamiento de los sistemas de telecomunicaciones.
2.C.9.b	Comunicaciones y medios de comunicación	Conocimiento de la producción de los medios de comunicación, comunicaciones y técnicas y métodos de diseminación. Esto incluye formas alternativas para informar y entretener por escrito, oral y visualmente.
2.D	Educación	Se requiere de educación formal para realizar un trabajo.
2.D.1	Nivel requerido de educación	El nivel de educación requerido para realizar un trabajo.
2.D.3	Nivel de educación en temas específicos	El grado de educación requerido en 15 áreas de estudio para realizar un trabajo. Las áreas de estudio cubren la mayoría de los cursos que se estudian en la escuela preparatoria o secundaria, instituciones de formación profesional, programas universitarios y otros programas de educación y entrenamiento.
3	Requisitos de la experiencia	Requisitos de la experiencia
3.A	Experiencia y entrenamiento	¿Si se contratara a alguien para realizar este trabajo, que tanto se le pediría de lo siguiente?
3.A.1	Experiencia laboral afin	¿Se requiere cierto tiempo de experiencia laboral similar, para ser contratado para el trabajo?
3.A.2	Entrenamiento en el lugar o en la planta	¿Cuanto tiempo de entrenamiento en el puesto en el  lugar de trabajo (por ejemplo, clases organizadas en salones de instrucción) que se requiere para realizar el trabajo?
3.A.3	Entrenamiento en el trabajo	¿Se requiere tiempo de entrenamiento en el trabajo para realizar el trabajo?
3.A.4	Aprendizaje	¿Se requiere tiempo de aprendizaje para realizar el trabajo?
3.B	Habilidades básicas - requisito de admisión	Requisito de admisión para desarrollar capacidades que faciliten el aprendizaje o la adquisición más rápida del conocimiento.
3.B.1	Contenido - requisito de admisión	Requisito de admisión de estructuras de formación que se necesitan para trabajar y adquirir más destrezas específicas en una variedad de campos.
3.B.2	Proceso - requisito de admisión	Requisito de admisión para procedimientos que contribuyen a una adquisición más rápida del conocimiento y destreza en una variedad de campos.
3.C	Flexibilidad en el uso de habilidades-requisito de admisión	Requisito de admisión para desarrollar capacidades que faciliten el desempeño de actividades que se sucitan en los trabajos.
3.C.1	Habilidades sociales - requisito de admisión	Requisito de admisión para capacidades desarrolladas para trabajar con personas y alcanzar metas.
3.C.2	Destrezas para resolver problemas complejos  - requisitos de admisión	Requisitos de admisión para capacidades desarrolladas para resolver problemas novedosos y poco definidos en situaciones reales complejas.
3.C.3	Destrezas técnicas - requisitos de admisión	Requisitos de admisión para capacidades desarrolladas para diseñar, crear, operar y corregir el mal funcionamiento de máquinas o aplicaciones de tecnología.
3.C.4	Destrezas de sistemas - requisitos de admisión	Requisitos de admisión para capacidades desarrolladas para entender, supervisar, y mejorar los sistemas socio-técnicos.
3.C.5	Destrezas de manejo de recursos - requisitos de admisión	Requisitos de admisión para capacidades desarrolladas para asignar los recursos eficientemente.
3.D	Cualificación	Licencias, certificados, o registros que se otorgan para mostrar que el titular de un trabajo ha obtenido ciertas destrezas. Incluye los requisitos para obtener estos documentos y la organización o agencia que requieren su posesión.
3.D.2	Licencia específica o certificado requerido	Educación específica, entrenamiento, examen u otros requisitos para obtener las licencias, certificados o registros que se necesitan para realizar este trabajo.
3.D.5	Organización y requisitos de la agencia	Organizaciones o agencias requieren licencias específicas, certificados o registros que se necesitan para realizar un trabajo.
4	Requisitos profesionales	Requisitos profesionales
4.A	Actividades generales del trabajo	Tipos generales de conductas de trabajo que ocurren en múltiples empleos.
4.A.1	Entrada de datos	¿Dónde y cómo se obtienen la información y los datos que se necesitan para realizar este trabajo?
4.A.1.a	Buscar y recibir información relacionada con el trabajo	¿Cómo se obtiene la información para realizar este trabajo?
4.A.1.a.1	Obtener información	Observar, recibir, y por otra parte obtener información de todas las fuentes principales.
4.A.1.a.2	Supervisar procesos, materiales o entornos	Supervisar y revisar la información de los materiales, eventos o el medio ambiente para detectar o evaluar los problemas.
4.A.1.b	Identificar y evaluar la información relevante del trabajo	¿Cómo se interpreta la información para realizar este trabajo?
4.A.1.b.1	Identificar objetos, acciones y eventos	Identificar información a través de la categorización, estimación, reconocimiento de diferencias o similitudes y detectar cambios en circunstancias o eventos.
4.A.1.b.2	Inspeccionar el equipo, estructuras o material	Inspeccionar el equipo, estructuras o materiales para identificar la causa de los errores u otros problemas o defectos.
4.A.1.b.3	Calcular las características cuantificables de los productos, eventos o información	Calcular tamaños, distancias y cantidades; o determinar el tiempo, costos, recursos o materiales que se necesitan para realizar una actividad de trabajo.
4.A.2	Procesos mentales	¿Qué actividades de procesamiento, planeación, solución de problemas, toma de decisiones e innovación se realizan con la información relacionada al trabajo?
4.A.2.a	Información y proceso de datos	¿Cómo se procesa la información para realizar este trabajo?
4.A.2.a.1	Evaluar la calidad de objetos, servicios o personas	Evaluar el valor, importancia o calidad de objetos o personas.
4.A.2.a.2	Procesamiento de información	Recopilar, codificar, clasificar, calcular, tabular, auditar o verificar la información o los datos.
4.A.2.a.3	Evaluar la información para determinar su conformidad con las normas	Utilizar la información relevante y juicio personal para determinar si los eventos o procesos cumplen con las leyes, regulaciones o normas.
4.A.2.a.4	Analizar datos o información	Identificar la base de los principios, razones o hechos de donde proviene la información, diviendo la información o los datos en sus diferentes componentes.
4.A.2.b	Razonamiento y toma de decisiones	¿Qué decisiones se toman y que problemas se resuelven mientras se realiza este trabajo?
4.A.2.b.1	Toma de decisiones y solución de problemas	Analizar la información y evaluar resultados para elegir la mejor solución y resolver los problemas.
4.A.2.b.2	Pensamiento creativo	Desarrollar, diseñar o crear nuevas aplicaciones, ideas, relaciones, sistemas o productos, incluyendo contribuciones artísticas.
4.A.2.b.3	Actualización y utilización de conocimiento pertinente	Estar actualizado técnicamente y aplicar nuevos conocimientos a su trabajo.
4.A.2.b.4	Desarrollar objetivos y estrategias	Establecer objetivos a largo plazo y especificar las estrategias y acciones para alcanzarlos.
4.A.2.b.5	Fijar el horario de trabajo y  actividades	Programar eventos, programas y actividades, así como el trabajo de otros.
4.A.2.b.6	Organizar, planear, y priorizar el trabajo	Desarrollar metas y planes específicos para dar prioridad, organizar, y cumplir con su trabajo.
4.A.3	Rendimiento en el trabajo	¿Qué actividades físicas se realizan, qué equipo y vehículos se operan/controlan, y qué actividades complejas/técnicas se llevan a cabo como medidas de rendimiento en el trabajo?
4.A.3.a	Desarrollar actividades físicas y manuales en el trabajo	¿Qué actividades en este trabajo requieren el uso del cuerpo y las manos?
4.A.3.a.1	Desarrollar actividades físicas en general	Desarrollar actividades físicas que requieren el uso considerable de brazos y piernas y mover el cuerpo entero, por ejemplo subir, levantar, equilibrar, caminar, detener y manejar materiales.
4.A.3.a.2	Manejar y mover objetos	Usar las manos y brazos para manejar, instalar, colocar y mover materiales y manipular cosas.
4.A.3.a.3	Controlar máquinas y procesos	Utilizar ciertos mecanismos o actividad física directa para operar máquinas o procesos (no incluye computadoras o vehículos).
4.A.3.a.4	Manejar vehículos, aparatos motorizados o equipo	Correr, maniobrar, navegar o manejar vehículos o equipo motorizado, tales como elevadores de carga, vehículos de pasajeros, aviones, o embarcaciones.
4.A.3.b	Realizar actividades complejas y técnicas	¿Qué tipo de actividades especializadas que requieren del uso de movimientos coordinados son necesarias para realizar este trabajo?
4.A.3.b.1	Trabajar con computadoras	Utilizar computadoras y sistemas computacionales (incluyendo hardware y software) para programar, crear software, establecer funciones, introducir datos o procesar información.
4.A.3.b.2	Delinear, diseñar y especificar aparatos técnicos, partes y equipo	Proporcionar documentación, instrucciones detalladas, dibujos o especificaciones para informar a otros respecto a cómo se fabricarán, construirán, ensamblarán, modificarán, mantendrán o usarán los aparatos, partes, equipo o estructuras.
4.A.3.b.4	Reparar y mantener equipo mecánico	Dar servicio, reparar, ajustar y probar las máquinas, aparatos, partes movibles y equipo que operan principalmente en base a principios mecánicos (no electrónicos).
4.A.3.b.5	Reparar y mantener equipo electrónico	Dar servicio, reparar, calibrar, regular, ajustar o probar las máquinas, aparatos y equipo que opera principalmente en base a principios eléctricos o electrónicos (no mecánicos).
4.A.3.b.6	Documentar/registrar información	Introducir, transcribir, registrar, almacenar o mantener la información por escrito o en forma  electrónica/magnética.
4.A.4	Interactuar con otros	¿Qué tipo de interacciones con otras personas o actividades de supervisión se sucitan cuando se realiza este trabajo?
4.A.4.a	Comunicación e interacción	¿Qué tipo de interacciones con otras personas se sucitan cuando se realiza este trabajo?
4.A.4.a.1	Interpretar el significado de la información para otros	Traducir o explicar lo que significa la información y cómo puede utilizarse.
4.A.4.a.2	Comunicación con Supervisores, Compañeros o Subordinados	Proporcionar información a supervisores, compañeros y subordinados por teléfono, por escrito, por correo electrónico o personalmente.
4.A.4.a.3	Comunicación con personas fuera de la organización	Comunicación con personas fuera de la organización, representar a la organización frente a los clientes, el público, gobierno y otras fuentes externas. Esta información puede comunicarse personalmente, por escrito, por teléfono o por correo electrónico.
4.A.4.a.4	Establecer y mantener relaciones interpersonales	Desarrollar relaciones de trabajo constructivas y cooperativas con otros, y mantenerlas a lo largo del tiempo.
4.A.4.a.5	Ayudar y cuidar a otros	Proporcionar ayuda personal, atención médica, apoyo emocional u otros cuidados personales a otros, tales como compañeros, clientes o pacientes.
4.A.4.a.6	Vender algo o influenciar a otros	Convencer a otros para comprar mercancía/servicios, o hacer que cambien su forma de pensar o sus acciones.
4.A.4.a.7	Resolver conflictos y negociar con otros	Manejar quejas, resolver disputas y resolver agravios y conflictos o también negociar con otros.
4.A.4.a.8	Trabajar directamente con el público	Desempeñarse delante de otras personas o tratar directamente con el público. Esto incluye atender a los clientes en restaurantes y tiendas, y recibir clientes o invitados.
4.A.4.b	Coordinar, desarrollar, manejar y aconsejar	¿Qué tipo de actividades de coordinación, administrativas o de asesoría se hacen mientras se realiza este trabajo?
4.A.4.b.1	Coordinar el trabajo y las actividades de otros	Reunir a los miembros de un grupo para trabajar juntos y realizar las labores necesarias.
4.A.4.b.2	Desarrollar y formar equipos de trabajo	Fomentar y construir la confianza mutua, respeto y cooperación entre los miembros del equipo.
4.A.4.b.3	Entrenar y enseñar a otros	Identificar las necesidades educativas de otros, desarrollar programas de educación formal, de entrenamiento o clases, y enseñar o instruir a otros.
4.A.4.b.4	Guiar, dirigir y motivar a los subordinados	Proporcionar orientación y dirección a los subordinados.  Se incluye supervisar su desempeño y establecer estándares de rendimiento apropiado.
4.A.4.b.5	Entrenar y desarrollar a otros	Identificar las necesidades de desarrollo de otros y entrenar, instruir, y por otra parte, ayudar a otros a aumentar sus conocimientos y mejorar sus habilidades.
4.A.4.b.6	Proporcionar consulta y asesoramiento a otros	Proporcionar orientación y consejo profesional a la administración/gerencia o a otros grupos sobre sistemas técnicos o sobre procesos relacionados con el tema.
4.A.4.c	Administración	¿Qué actividades administrativas, de personal, supervisión, o de control se hacen mientras se realiza este trabajo?
4.A.4.c.1	Realizar actividades administrativas	Realizar las tareas administrativas diarias, tales como mantener la información en archivos al día y procesar el papeleo.
4.A.4.c.2	Proveer de personal a las diferentes unidades en la organización	Reclutar, entrevistar, seleccionar, contratar y promover a los empleados en una organización.
4.A.4.c.3	Supervisar y controlar los recursos	Supervisar y controlar los recursos y vigilar el gasto del dinero.
4.B	Contexto organizacional	Características de la organización que influyen en la forma en que las personas hacen su trabajo.
4.B.1	Características estructurales	Un subsistema funcional de una estructura organizacional, que incluye conceptos tales como (a) estructura organizacional, y (b) sistemas y prácticas de recursos humanos.
4.B.1.a	Estructura organizacional	La arquitectura o anatomía de una organización afecta al comportamiento de los miembros de la organización, así como su habilidad para adaptarse eficazmente a su medio ambiente. Los elementos de la estructura organizacional incluyen la jerarquía de la organización, el grado de centralización, y la naturaleza de los grupos de trabajo que se utilizan para lograr los objetivos organizacionales.
4.B.1.a.1	Sistema para toma de decisiones	El grado de autonomía y participación que los empleados tengan en la toma de decisiones.
4.B.1.a.1.a	Descentralización y autorización al empleado	Indica el grado de información y participación que se le otorga a los empleados para la  toma de decisiones.
4.B.1.a.1.b	Estructura individual frente a la estructura de grupo	Identifica hasta que punto los empleados trabajan exclusivamente en equipo o no.
4.B.1.a.2	Características del trabajo	Indica el nivel de variedad de habilidades, importancia de la labor, identificación con la labor, autonomía y evaluación periódica que se provee en este trabajo.
4.B.1.a.2.a	Variedad de destrezas	Las distintas destrezas que se requieren que las personas posean para desarrollar este trabajo.
4.B.1.a.2.b	Importancia de la labor	La importancia o significado de las labores que se realizan en este trabajo de acuerdo a sus efectos en las vidas o en el bienestar de otros.
4.B.1.a.2.c	Identidad de la labor	Hasta que punto se puede percibir que las labores realizadas en este trabajo contribuyen al producto final.
4.B.1.a.2.d	Autonomía	El grado de libertad en el trabajo reflejado a través del nivel de iniciativa personal y criterio propio que una persona tiene al momento de desempeñar una labor.
4.B.1.a.2.e	Retroalimentación	Hasta que punto este trabajo proporciona información respecto a que tan bien uno se está desempeñando.
4.B.1.a.3	Estabilidad en el trabajo y rotación	El grado de estabilidad y de rotación en el trabajo.
4.B.1.b	Sistemas y prácticas de recursos humanos	Las prácticas y procedimientos organizacionales diseñados para asegurar que una organización tenga empleados que son capaces de cumplir con sus metas.
4.B.1.b.1	Reclutamiento y selección	Las prácticas organizacionales, decisiones, y procesos que afectan (a) la capacidad de una organización para contratar, promover, y otras decisiones del personal, y (b) el número o tipos de individuos que desean solicitar o aceptar una vacante determinada.
4.B.1.b.1.a	Operaciones de reclutamiento	Actividades involucradas en la implementación de planes para la búsqueda de personal (por ejemplo, selección de fuentes de información, demostraciones del trabajo tal y como es).
4.B.1.b.1.b	Métodos utilizados para la selección	Los métodos utilizados para seleccionar o promover empleados.
4.B.1.b.2	Entrenamiento y desarrollo	La adquisición sistemática de actitudes, conceptos, conocimiento, funciones, o habilidades que resultan en el mejoramiento del desempeño en el trabajo.
4.B.1.b.2.a	Métodos de entrenamiento	Los métodos que se utilizan en los programas de entrenamiento.
4.B.1.b.2.b	Temas de entrenamiento y contenido	Lo que los entrenadores pretenden enseñar a las personas que están en entrenamiento a través de programas de entrenamiento.
4.B.1.b.2.c	La importancia y apoyo de las actividades de entrenamiento	Hasta que punto una organización facilita el entrenamiento a sus empleados y proporciona apoyo financiero para actividades de entrenamiento.
4.B.1.b.3	Sistema de compensación	Compensación monetaria y beneficios monetarios y no monetarios que las organizaciones proporcionan a sus empleados.
4.B.1.b.3.a	Bases de la compensación	Hasta que punto las organizaciones premian a los individuos en base a: (a) su conocimiento, destrezas, y desempeño, (b) antigüedad, (c) desempeño en equipo, (d) desempeño organizacional, y (e) atributos del trabajo.
4.B.1.b.3.b	Beneficios	Hasta que punto la compensación de los empleados incluye beneficios como pensiones, seguro, ausencia temporal con goce de sueldo, premios y bonos, pago por tiempo no laborado, etc.
4.B.2	Procesos sociales	Un subsistema funcional de estructura organizacional que incluye procesos que relacionan a las personas (empleados) con su trabajo y entre ellas mismas, y elementos tales como valores, metas, liderazgo y roles.
4.B.2.a	Metas	Establecer metas individuales.
4.B.2.a.1	Características de la metas individuales	Hasta que punto se indica explícitamente la meta de un individuo, y la probabilidad de que se pueda alcanzar dicha meta.
4.B.2.a.2	Retroalimentación respecto a la meta	Hasta que punto se le da a un individuo una evaluación periódica de su progreso hacia una meta.
4.B.2.b	Roles	Características de los diferentes roles o papeles que desempeñan los empleados en la organización tales como el grado de conflicto entre funciones o el nivel excesivo de responsabilidad (carga excesiva) que representa el desempeño de diferente funciones para el empleado.
4.B.2.b.1	Conflicto de roles	Hasta que punto un individuo tiene que enfrentar funciones conflictivas dentro del mismo trabajo.
4.B.2.b.2	Negociación de roles	Hasta que punto un individuo puede negociar el papel que desempeña en una organización.
4.B.2.b.3	Exceso del rol	La diferencia entre las demandas del trabajo y la habilidad de uno para cumplir esas demandas.
4.B.2.c	Cultura	Patrones de conducta y relaciones sociales que indican las suposiciones, valores, normas y artefactos que comparten los miembros de la organización.
4.B.2.c.1	Valores organizacionales	Indican la importancia de los diferentes valores organizacionales, tales como la tradición, estabilidad, innovación y colaboración.
4.B.2.c.1.a	Principios que orientan a la organización	Qué tan importantes son cada uno de los siguientes conceptos o valores como guías para orientar la dirección en que se dirige su compañía.
4.B.2.d	Rol de supervisión	La naturaleza del liderazgo de supervisión.
4.C	Contexto del trabajo	Factores físicos y sociales que influyen en la naturaleza del trabajo.
4.C.1	Relaciones interpersonales	Esta categoría describe el contexto del trabajo en términos de los procesos de la interacción humana.
4.C.1.a	Comunicación	Tipos y frecuencia de las interacciones que se requieren con otras personas como parte de este trabajo.
4.C.1.a.2	Métodos de comunicación	¿Con qué frecuencia este trabajo requiere el uso de los siguientes métodos de comunicación?
4.C.1.a.2.c	Hablar en público	¿Con qué frecuencia se tiene que hablar en público en este trabajo?
4.C.1.a.2.f	Teléfono	¿Con qué frecuencia se tienen conversaciones telefónicas en este trabajo?
4.C.1.a.2.h	Correo electrónico	¿Con qué frecuencia se utiliza el correo electrónico en este trabajo?
4.C.1.a.2.j	Cartas y memorándums	¿Con qué frecuencia este trabajo requiere de cartas por escrito y memorándums?
4.C.1.a.2.l	Diálogos frente a frente	¿Con qué frecuencia se tienen diálogos frente a frente con individuos o equipos en este trabajo?
4.C.1.a.4	Contacto con otros	¿Qué tanto se requiere que el trabajador esté en contacto con otros (frente a frente, por teléfono o alguna otra forma) para realizar este trabajo?
4.C.1.b	Roles de relación	Importancia de los diferentes tipos de interacciones con otros, tanto dentro como fuera de la organización.
4.C.1.b.1	Interacciones del trabajo	Qué tan importantes son las interacciones que requiere que el trabajador:
4.C.1.b.1.e	Trabajar con grupos de trabajo o en equipo	¿Qué tan importante es trabajar con otros en grupo o en equipo en este trabajo?
4.C.1.b.1.f	Tratar con clientes externos	¿Qué tan importante es trabajar con clientes externos o con el público en este trabajo?
4.C.1.b.1.g	Coordinar o guiar a otros	¿Qué tan importante es coordinar o guiar a otros para que cumplan con sus actividades de trabajo, en este trabajo?
4.C.1.c	Responsabilidad de otros	Grado de responsabilidad que el trabajador tiene respecto a otros trabajadores, como parte de este trabajo.
4.C.1.c.1	Responsabilidad de la salud y seguridad de otros	¿Qué tanta responsabilidad existe en este trabajo, respecto a la salud y seguridad de otros?
4.C.1.c.2	Responsabilidad de las consecuencias y resultados	¿Qué tan responsable es el trabajador para lidiar con los resultados y las consecuencias del trabajo de otros trabajadores?
4.C.1.d	Conflicto	Grado de conflicto que el trabajador encontrará como parte de este trabajo
4.C.1.d.1	Frecuencia de Situaciones de Conflicto	¿Con qué frecuencia se dan en este trabajo situaciones conflictivas que el empleado tiene que enfrentar?
4.C.1.d.2	Tratar con personas desagradables o enojadas	¿Con qué frecuencia el trabajador tiene que tratar con individuos desagradables, enojados o descorteses como parte de los requisitos de trabajo?
4.C.1.d.3	Tratar con personas físicamente agresivas	¿Con qué frecuencia este trabajo requiere que el trabajador trate con individuos físicamente agresivos o violentos?
4.C.2	Condiciones físicas del trabajo	Esta categoría describe el contexto del trabajo en cuanto a la interacción entre el trabajador y el medio ambiente físico del trabajo.
4.C.2.a	Entorno del trabajo	Descripción del contorno físico al cual el trabajador estará expuesto como parte de este trabajo.
4.C.2.a.1	Frecuencia que se requiere para trabajar	Con qué frecuencia requiere este trabajo que el trabajador labore:
4.C.2.a.1.a	Area interior, medio ambiente controlado	¿Con qué frecuencia requiere este trabajo que se labore en áreas interiores bajo un medio ambiente controlado?
4.C.2.a.1.b	Area interior, medio ambiente no controlado	¿Con qué frecuencia requiere este trabajo que se labore dentro de un edificio, en condiciones de un medio ambiente no controlado (e.g. almacén o depósito sin calefacción)?
4.C.2.a.1.c	Al aire libre, expuesto a variaciones climáticas	¿Con qué frecuencia requiere este trabajo laborar al aire libre, expuesto a los elementos climáticos?
4.C.2.a.1.d	Al aire libre, bajo techo	¿Con qué frecuencia requiere este trabajo que se labore al aire libre, pero bajo techo (e.g. estructura con techo pero sin paredes)?
4.C.2.a.1.e	En un vehículo o equipo abierto	¿Con qué frecuencia este trabajo requiere que se labore en un vehículo o equipo abierto (e.g. tractor)?
4.C.2.a.1.f	En un vehículo o equipo cerrado	¿Con qué frecuencia requiere este trabajo que se labore en un vehículo o equipo cerrado (e.g. automóvil)?
4.C.2.a.3	Proximidad física	¿Hasta qué punto este trabajo requiere que el trabajador realice labores de trabajo en una proximidad física cercana a otras personas?
4.C.2.b	Condiciones del medio ambiente	Descripción de las condiciones extremas del medio ambiente en las que el trabajador será colocado como parte de este trabajo.
4.C.2.b.1	Frecuencia en las condiciones del medio ambiente	Durante un periodo normal de trabajo, con qué frecuencia está el trabajador expuesto a las siguientes condiciones:
4.C.2.b.1.a	Sonidos, niveles de ruido son distrayentes o incómodos	¿Con qué frecuencia este trabajo requiere que se labore expuesto a sonidos y niveles de ruido que son distrayentes e incómodos?
4.C.2.b.1.b	Temperaturas muy calientes o frías	¿Con qué frecuencia requiere este trabajo que se labore bajo temperaturas muy calientes (por arriba de los 90 grados F) o muy frías (por debajo de los 32 grados F)?
4.C.2.b.1.c	Demasiada Iluminación o luz inadecuada	¿Con qué frecuencia requiere este trabajo que se labore bajo una luz inadecuada o demasiado brillante?
4.C.2.b.1.d	Exposición a contaminantes	¿Con qué frecuencia requiere este trabajo exponerse a contaminantes (tales como agentes contaminantes, gases, polvo u olores)?
4.C.2.b.1.e	Trabajar en un lugar muy estrecho, en posiciones incómodas	¿Con qué frecuencia requiere este trabajo que se labore en espacios estrechos donde hay que estar en posiciones incomodas?
4.C.2.b.1.f	Exposición a la vibración completa del cuerpo	¿Con qué frecuencia se requiere en este trabajo estar expuesto a la vibración completa del cuerpo (e.g. manejar un martillo perforador)?
4.C.2.c	Riesgos de trabajo	Descripciones de los tipos de condiciones de riesgo a los que el trabajador podría estar expuesto, como parte de este trabajo. Esto incluye la frecuencia con la que está expuesto y la probabilidad y grado de lesión si se expone.
4.C.2.c.1	Frecuencia con la que se está expuesto a riesgos de trabajo	¿Con qué frecuencia requiere este trabajo que el trabajador esté expuesto a los siguientes riesgos?
4.C.2.c.1.a	Exposición a la radiación	¿Con qué frecuencia requiere este trabajo estar expuesto a la radiación?
4.C.2.c.1.b	Exposición a enfermedades o infecciones	¿Con qué frecuencia requiere este trabajo estar expuesto a enfermedades/infecciones?
4.C.2.c.1.c	Exposición a lugares altos	¿Con qué frecuencia requiere este trabajo estar expuesto a lugares altos?
4.C.2.c.1.d	Exposición a condiciones de peligro	¿Con qué frecuencia requiere este trabajo estar expuesto a condiciones peligrosas?
4.C.2.c.1.e	Exposición a equipo peligroso	¿Con qué frecuencia requiere este trabajo estar expuesto a equipo peligroso?
4.C.2.c.1.f	Exposición a quemaduras leves, cortadas, mordeduras o picaduras	¿Con qué frecuencia requiere este trabajo estar expuesto a quemaduras leves, cortaduras, mordeduras o picaduras?
4.C.2.c.2	La probabilidad de lesionarse por riesgos de trabajo	¿Cuál es la probabilidad de que el trabajador se lesione por estar expuesto a los siguientes riesgos mientras realiza este trabajo?
4.C.2.c.3	Grado de lesión	¿Si se lesiona debido a la exposición a los siguientes riesgos que pueden ocurrir mientras se realiza este trabajo, qué tan serio sería el resultado?
4.C.2.d	Posición del cuerpo	Cuanto tiempo pasará el trabajador en diferentes posiciones físicas en este trabajo.
4.C.2.d.1	Tiempo que pasa el cuerpo en posiciones	Cuánto tiempo pasa un trabajador en un periodo normal de trabajo:
4.C.2.d.1.a	Tiempo que pasa sentado	¿Cuánto tiempo se requiere estar sentado en este trabajo?
4.C.2.d.1.b	Tiempo que pasa de pie	¿Por cuánto tiempo se requiere estar de pie en este trabajo?
4.C.2.d.1.c	Tiempo que pasa subiendo escaleras, andamios o postes	¿Por cuánto tiempo requiere este trabajo subir escaleras, andamios o postes?
4.C.2.d.1.d	Tiempo que pasa caminando y corriendo	¿Por cuánto tiempo requiere este trabajo caminar y correr?
4.C.2.d.1.e	Tiempo que pasa arrodillándose, agachándose, inclinándose o arrastrándose	¿Por cuánto tiempo requiere este trabajo estar arrodillado, agachado, inclinado o arrastrarse?
4.C.2.d.1.f	Tiempo que pasa manteniendo o recuperando el equilibrio	¿Por cuánto tiempo requiere este trabajo mantener o recuperar el equilibrio?
4.C.2.d.1.g	Tiempo que pasa utilizando las manos para manejar, controlar o tocar objetos, herramientas o controles	¿Por cuánto tiempo requiere este trabajo el usar las manos para manejar, controlar o tocar objetos, herramientas o controles?
4.C.2.d.1.h	Tiempo que pasa flexionando o girando el cuerpo	¿Por cuánto tiempo requiere este trabajo flexionar o girar el cuerpo?
4.C.2.d.1.i	Tiempo que pasa realizando movimientos repetitivos	¿Por cuánto tiempo requiere este trabajo realizar movimientos repetitivos?
4.C.2.e	Atuendo o ropa de trabajo	Requisitos de ropa o atuendo de este trabajo.
4.C.2.e.1	Frecuencia con la que se usa ropa o atuendo de trabajo	Con qué frecuencia el trabajador viste el siguiente atuendo:
4.C.2.e.1.d	Atuendo o ropa común de protección o equipo de seguridad como zapatos de seguridad, lentes, guantes, protecciones auditivas, cascos o chaleco salvavidas	¿Por cuánto tiempo requiere este trabajo que se utilice una ropa o atuendo común de protección o equipo de seguridad como zapatos de seguridad, gafas, guantes, cascos o chalecos salvavidas?
4.C.2.e.1.e	Usar equipo especializado de protección o de seguridad, tales como aparatos para respirar,  arnéces de seguridades, trajes de protección total o protección contra la radiación	¿Por cuánto tiempo requiere este trabajo utilizar equipo de protección especializada o de seguridad, tales como aparatos para respirar, arnéces de seguridad, trajes de protección total o protección contra la radiación?
4.C.3	Características estructurales del trabajo	Esta categoría involucra las relaciones o interacciones entre el trabajador y las características estructurales del trabajo.
4.C.3.a	Posición crítica	Cuanta influencia tiene el trabajador en el resultado final del producto y en las consecuencias del mismo.
